18/10/17 05:32:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/17 05:32:39 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.2:8032
18/10/17 05:32:41 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/17 05:32:42 INFO input.FileInputFormat: Total input files to process : 74
18/10/17 05:32:42 INFO mapreduce.JobSubmitter: number of splits:74
18/10/17 05:32:42 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1539751383410_0004
18/10/17 05:32:42 INFO impl.YarnClientImpl: Submitted application application_1539751383410_0004
18/10/17 05:32:42 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1539751383410_0004/
18/10/17 05:32:42 INFO mapreduce.Job: Running job: job_1539751383410_0004
18/10/17 05:32:48 INFO mapreduce.Job: Job job_1539751383410_0004 running in uber mode : false
18/10/17 05:32:48 INFO mapreduce.Job:  map 0% reduce 0%
18/10/17 05:33:08 INFO mapreduce.Job:  map 3% reduce 0%
18/10/17 05:33:09 INFO mapreduce.Job:  map 5% reduce 0%
18/10/17 05:33:10 INFO mapreduce.Job:  map 10% reduce 0%
18/10/17 05:33:33 INFO mapreduce.Job:  map 11% reduce 0%
18/10/17 05:33:35 INFO mapreduce.Job:  map 13% reduce 0%
18/10/17 05:33:39 INFO mapreduce.Job:  map 14% reduce 0%
18/10/17 05:33:41 INFO mapreduce.Job:  map 15% reduce 0%
18/10/17 05:33:46 INFO mapreduce.Job:  map 16% reduce 0%
18/10/17 05:33:51 INFO mapreduce.Job:  map 17% reduce 0%
18/10/17 05:33:56 INFO mapreduce.Job:  map 19% reduce 0%
18/10/17 05:33:58 INFO mapreduce.Job:  map 22% reduce 0%
18/10/17 05:33:59 INFO mapreduce.Job:  map 23% reduce 0%
18/10/17 05:34:01 INFO mapreduce.Job:  map 24% reduce 0%
18/10/17 05:34:02 INFO mapreduce.Job:  map 25% reduce 0%
18/10/17 05:34:08 INFO mapreduce.Job:  map 26% reduce 0%
18/10/17 05:34:18 INFO mapreduce.Job:  map 27% reduce 0%
18/10/17 05:34:20 INFO mapreduce.Job:  map 28% reduce 0%
18/10/17 05:34:21 INFO mapreduce.Job:  map 29% reduce 0%
18/10/17 05:34:22 INFO mapreduce.Job:  map 30% reduce 0%
18/10/17 05:34:25 INFO mapreduce.Job:  map 31% reduce 0%
18/10/17 05:34:26 INFO mapreduce.Job:  map 32% reduce 0%
18/10/17 05:34:36 INFO mapreduce.Job:  map 33% reduce 0%
18/10/17 05:34:39 INFO mapreduce.Job:  map 35% reduce 0%
18/10/17 05:34:41 INFO mapreduce.Job:  map 36% reduce 0%
18/10/17 05:34:42 INFO mapreduce.Job:  map 38% reduce 0%
18/10/17 05:34:43 INFO mapreduce.Job:  map 40% reduce 0%
18/10/17 05:34:45 INFO mapreduce.Job:  map 41% reduce 0%
18/10/17 05:34:57 INFO mapreduce.Job:  map 42% reduce 0%
18/10/17 05:34:58 INFO mapreduce.Job:  map 43% reduce 0%
18/10/17 05:35:00 INFO mapreduce.Job:  map 44% reduce 0%
18/10/17 05:35:03 INFO mapreduce.Job:  map 45% reduce 0%
18/10/17 05:35:05 INFO mapreduce.Job:  map 46% reduce 0%
18/10/17 05:35:09 INFO mapreduce.Job:  map 47% reduce 0%
18/10/17 05:35:13 INFO mapreduce.Job:  map 48% reduce 0%
18/10/17 05:35:18 INFO mapreduce.Job:  map 49% reduce 0%
18/10/17 05:35:21 INFO mapreduce.Job:  map 50% reduce 0%
18/10/17 05:35:23 INFO mapreduce.Job:  map 51% reduce 0%
18/10/17 05:35:24 INFO mapreduce.Job:  map 54% reduce 0%
18/10/17 05:35:25 INFO mapreduce.Job:  map 55% reduce 0%
18/10/17 05:35:26 INFO mapreduce.Job:  map 56% reduce 0%
18/10/17 05:35:29 INFO mapreduce.Job:  map 57% reduce 0%
18/10/17 05:35:33 INFO mapreduce.Job:  map 58% reduce 0%
18/10/17 05:35:41 INFO mapreduce.Job:  map 59% reduce 0%
18/10/17 05:35:42 INFO mapreduce.Job:  map 60% reduce 0%
18/10/17 05:35:45 INFO mapreduce.Job:  map 61% reduce 0%
18/10/17 05:35:46 INFO mapreduce.Job:  map 62% reduce 0%
18/10/17 05:35:48 INFO mapreduce.Job:  map 63% reduce 0%
18/10/17 05:35:57 INFO mapreduce.Job:  map 64% reduce 0%
18/10/17 05:36:01 INFO mapreduce.Job:  map 65% reduce 0%
18/10/17 05:36:03 INFO mapreduce.Job:  map 66% reduce 0%
18/10/17 05:36:05 INFO mapreduce.Job:  map 70% reduce 0%
18/10/17 05:36:06 INFO mapreduce.Job:  map 71% reduce 0%
18/10/17 05:36:07 INFO mapreduce.Job:  map 72% reduce 0%
18/10/17 05:36:10 INFO mapreduce.Job:  map 73% reduce 0%
18/10/17 05:36:14 INFO mapreduce.Job:  map 74% reduce 0%
18/10/17 05:36:21 INFO mapreduce.Job:  map 75% reduce 0%
18/10/17 05:36:23 INFO mapreduce.Job:  map 76% reduce 0%
18/10/17 05:36:29 INFO mapreduce.Job:  map 78% reduce 0%
18/10/17 05:36:35 INFO mapreduce.Job:  map 79% reduce 0%
18/10/17 05:36:36 INFO mapreduce.Job:  map 80% reduce 0%
18/10/17 05:36:41 INFO mapreduce.Job:  map 81% reduce 0%
